s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,width
73.2287014,-46.3656280,19.2725830,0.6904253,0.0186355,5.6766435,-4814.4399757,15.0000000
73.7963657,-46.7264008,19.7108589,0.6887064,0.0151443,5.6766435,-4864.3618220,15.0000000
74.3640301,-47.0865452,20.1496514,0.6872734,0.0126252,5.6766435,-4914.3664196,15.0000000
74.9316944,-47.4461519,20.5888846,0.6860487,0.0107902,5.6766435,-4964.4636431,15.0000000
75.4993588,-47.8052874,21.0285032,0.6849762,0.0094485,5.6766435,-5014.6596079,15.0000000
76.0670231,-48.1640000,21.4684670,0.6840146,0.0084720,5.6766435,-5064.9578406,15.0000000
76.6346875,-48.5223242,21.9087471,0.6831322,0.0077744,5.6766435,-5115.3600583,15.0000000
77.2023519,-48.8802836,22.3493239,0.6823040,0.0072974,5.6766435,-5165.8666945,15.0000000
77.7700162,-49.3269152,22.6996994,0.9055879,-1.9509060,5.6766435,-5212.0432962,15.0000000
78.3376806,-49.8485521,22.9236139,1.1653285,-2.2627625,5.6766435,-5261.2147993,15.0000000
78.9053449,-50.4125162,22.9883233,1.4565556,-2.5296986,5.6766435,-5319.2619945,15.0000000
79.4730093,-50.9694184,22.8783107,1.7658292,-2.6815799,5.6766435,-5384.0190839,15.0000000
80.0406736,-51.4672229,22.6054856,2.0721463,-2.6567567,5.6766435,-5450.1015260,15.0000000
80.6083380,-51.8698186,22.2052863,2.3532093,-2.4437912,5.6766435,-5510.0033452,15.0000000
81.1760023,-52.1654585,21.7206835,2.5938044,-2.0993365,5.6766435,-5557.2188649,15.0000000
81.7436667,-52.3611719,21.1878242,2.7895992,-1.7140222,5.6766435,-5588.7950181,15.0000000
82.3113310,-52.4722999,20.6311435,2.9445566,-1.3597729,5.6766435,-5605.3305924,15.0000000
82.8789954,-52.5150841,20.0650937,3.0661523,-1.0686634,5.6766435,-5609.3122161,15.0000000
83.4466597,-52.5034817,19.4975480,-3.1211523,-0.8434491,5.6766435,-5603.5731612,15.0000000
84.0143241,-52.4484839,18.9325541,-3.0445561,-0.6741801,5.6766435,-5590.5462205,15.0000000
84.5819884,-52.3584260,18.3720790,-2.9822731,-0.5483809,5.6766435,-5572.0919717,15.0000000
85.1496528,-52.2395367,17.8170040,-2.9305947,-0.4551026,5.6766435,-5549.5660603,15.0000000
85.7173171,-52.0964514,17.2676686,-2.8867845,-0.3858604,5.6766435,-5523.9401655,15.0000000
86.2849815,-51.9326174,16.7241604,-2.8488172,-0.3344249,5.6766435,-5495.9101061,15.0000000
86.8526458,-51.7505951,16.1864702,-2.8151758,-0.2963365,5.6766435,-5465.9770887,15.0000000
87.4203102,-51.5522744,15.6545757,-2.7847018,-0.2684449,5.6766435,-5434.5049418,15.0000000
87.9879745,-51.3390273,15.1284878,-2.7564871,-0.2485492,5.6766435,-5401.7594618,15.0000000
88.5556389,-51.1118155,14.6082786,-2.7297950,-0.2351388,5.6766435,-5367.9352745,15.0000000
89.1233032,-51.0260467,14.0471311,-2.9899211,2.2660453,5.6766435,-5319.7327175,15.0000000
89.6909676,-51.0672335,13.4809629,3.0689740,1.9595499,5.6766435,-5270.9656849,15.0000000
90.2586319,-51.2123172,12.9321518,2.8831451,1.6278121,5.6766435,-5236.5443744,15.0000000
90.8262963,-51.4381459,12.4113407,2.7324523,1.3226386,5.6766435,-5216.6557181,15.0000000
91.3939606,-51.7254233,11.9217342,2.6109715,1.0676581,5.6766435,-5209.6396155,15.0000000
91.9616250,-52.0594282,11.4627315,2.5125331,0.8658777,5.6766435,-5213.2230878,15.0000000
92.5292894,-52.4293690,11.0321660,2.4317832,0.7106628,5.6766435,-5225.2453895,15.0000000
93.0969537,-52.8274446,10.6274703,2.3644410,0.5928601,5.6766435,-5243.9233230,15.0000000
93.6646181,-53.2480182,10.2462083,2.3072067,0.5039797,5.6766435,-5267.8754688,15.0000000
