#{"t_start": 1779012130.100302, "env_id": "f110-v0"}
r,l,t,is_success
10.0661885.777833,646,111.827209,False
802.066863,300,112.699491,False
846.167188,320,114.253548,False
640.73772,261,115.167364,False
1289.672771,526,117.914522,False
1677.653381,624,120.723337,False
395.718286,246,121.462527,False
808.697675,363,122.607176,False
643.036087,271,123.280645,False
7.527485,83,123.527617,False
-4.822005,81,124.92109,False
-73.29954,470,126.279047,False
477.013822,185,127.307371,False
28.07157,72,127.631367,False
-57.978639,523,130.241106,False
8.691706,72,130.721051,False
559.655296,248,131.858941,False
599.386742,274,132.532392,False
40.894906,89,132.72087.444,704,134.431975,False
54.428489,83,1521.657096,561,136.061374,False
23.353007,79,136.299345,False
5014.010131,1655,143.047166,False
327.869681,223,144.227986,False
0.452237,58,144.5526,False
1196.746376,451,145.987812,False
3548.115379,1184,151.553695,False
353.281191,157,151.961739,False
765.301128,298,152.916804,False
4.480329,57,153.137218,False
342.055663,548,156.613214,False
1096.32373,395,158.015347,False
488.237712,218,158.622365,False
1188.965796,435,160.970031,False
1465.560151,594,162.676504,False
1179.529531,404,164.735196,False
462.330924,251,165.230745,False
516.613429,224,165.698988,False
1257.871765,434,167.526463,False
2693.998944,939,170.029391,False
1058.115013,403,172.089372,False
412.479981,198,172.864457,False
520.972468,223,173.742353,False
15.906044,72,174.118271,False
2815.267288,891,177.922432,False
982.821054,406,180.16588,False
1347.085696,533,181.290991,False
620.853056,252,181.967047,False
34.655102,85,182.369205,False
-38.961906,74,183.732048,False
744.176617,288,184.598539,False
521.515576,218,185.188797,False
505.743054,219,185.898795,False
479.700181,222,186.501091,False
1040.780201,503,188.943529,False
680.503334,277,189.790565,False
3807.8687,1250,194.622916,False
501.186265,204,196.436846,False
1071.904101,398,197.75148,False
1134.220607,393,198.950542,False
29.076307,76,199.192132,False
488.562442,333,201.523345,False
287.192727,150,202.133646,False
800.435727,281,202.999223,False
363.053947,190,203.888603,False
1447.729207,517,206.783715,False
641.215625,266,207.611133,False
1978.711249,664,211.046934,False
865.780644,341,211.980292,False
492.089044,226,212.475369,False
20.635282,70,212.859518,False
471.870186,210,214.794447,False
787.875196,372,215.769296,False
1767.036222,607,218.78345,False
12.983466,70,219.281279,False
1267.497041,450,220.73833,False
2221.202049,708,223.63218,False
2783.930324,965,227.796435,False
1266.753402,442,228.600664,False
393.870066,160,228.985055,False
6.47965,66,229.219025,False
6.129724,56,229.443626,False
432.500516,186,231.124873,False
0.002528,63,231.340663,False
3163.656371,1027,245.620814,False
1960.814797,653,247.340669,False
-8.272598,48,247.537867,False
7.321121,51,247.748452,False
40.381636,78,248.994704,False
423.458733,216,249.706535,False
4.125949,61,250.05780.559042,311,250.802137,False
1837.128142,640,253.34978,False
5992.192434,2019,260.925107,False
724.829507,297,261.629129,False
1554.286184,679,264.366313,False
611.144678,233,265.082971,False
2855.015827,939,268.804808,False
33.356999,77,269.282415,False
2098.090905,727,271.27901,False
-20.725155,65,272.709608,False
2533.208406,841,275.296827,False
1121.784327,446,277.270247,False
427.036808,232,277.900558,False
1388.010404,463,279.233919,False
533.481312,262,280.92971,False
731.070868,303,281.891507,False
1916.679626,646,284.751825,False
4839.65225,1506,289.601822,False
4523.298808,1478,295.492137,False
6882.906999,2235,304.028379,False
