s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,width
42.5748264,-33.5111512,16.1521433,0.9148996,0.2885983,5.6766435,-3496.4297937,12.0000000
43.1424907,-33.9513425,16.5105766,0.8874163,0.2421076,5.6766435,-3552.6112323,12.0000000
43.7101551,-34.3829497,16.8793015,0.8638074,0.2079834,5.6766435,-3608.4382390,12.0000000
44.2778194,-34.8068090,17.2569073,0.8430454,0.1829076,5.6766435,-3663.9389842,12.0000000
44.8454838,-35.2235392,17.6423665,0.8243606,0.1646101,5.6766435,-3719.1452496,12.0000000
45.4131481,-35.6335778,18.0349364,0.8071597,0.1515381,5.6766435,-3774.0868463,12.0000000
45.9808125,-36.0372071,18.4340933,0.7909691,0.1426389,5.6766435,-3828.7893863,12.0000000
46.5484769,-36.4345706,18.8394882,0.7753938,0.1372188,5.6766435,-3883.2735781,12.0000000
47.1161412,-36.8256826,19.2509177,0.7600871,0.1348518,5.6766435,-3937.5551670,12.0000000
47.6838056,-37.2468534,19.6315199,0.8359536,-0.6677703,5.6766435,-3990.0785624,12.0000000
48.2514699,-37.6922909,19.9834122,0.9021874,-0.5831165,5.6766435,-4042.8620727,12.0000000
48.8191343,-38.1576707,20.3084730,0.9610878,-0.5186338,5.6766435,-4097.2872043,12.0000000
49.3867986,-38.6397362,20.6082323,1.0144851,-0.4702251,5.6766435,-4152.8025021,12.0000000
49.9544630,-39.1360070,20.8838372,1.0638535,-0.4347769,5.6766435,-4209.0240407,12.0000000
50.5221273,-39.6445662,21.1360482,1.1104080,-0.4100133,5.6766435,-4265.6799354,12.0000000
51.0897917,-40.1639044,21.3652438,1.1551821,-0.3943442,5.6766435,-4322.5729309,12.0000000
51.6574560,-40.6928028,21.5714216,1.1990923,-0.3867406,5.6766435,-4379.5551732,12.0000000
52.2251204,-41.2302399,21.7541898,1.2429917,-0.3866447,5.6766435,-4436.5109724,12.0000000
52.7927847,-41.7753112,21.9127462,1.2877171,-0.3939158,5.6766435,-4493.3447120,12.0000000
53.3604491,-42.3424435,21.9373163,1.5275000,-2.0923867,5.6766435,-4553.7266897,12.0000000
53.9281134,-42.8994590,21.8278787,1.7647967,-2.0711028,5.6766435,-4616.4813419,12.0000000
54.4957778,-43.4176937,21.5961988,1.9911992,-1.9776901,5.6766435,-4676.8672991,12.0000000
55.0634421,-43.8766227,21.2620925,2.2000768,-1.8269336,5.6766435,-4731.0850419,12.0000000
55.6311065,-44.2651969,20.8482654,2.3876558,-1.6429627,5.6766435,-4776.3964724,12.0000000
56.1987708,-44.5803402,20.3761134,2.5530399,-1.4504596,5.6766435,-4811.4774587,12.0000000
56.7664352,-44.8242467,19.8635195,2.6974691,-1.2680540,5.6766435,-4836.2493230,12.0000000
57.3340995,-45.0018544,19.3243551,2.8233746,-1.1063438,5.6766435,-4851.4425044,12.0000000
57.9017639,-45.1190665,18.7689236,2.9336153,-0.9692934,5.6766435,-4858.1623546,12.0000000
58.4694282,-45.1817134,18.2047266,3.0310082,-0.8567111,5.6766435,-4857.5868948,12.0000000
59.0370926,-45.1950460,17.6372189,3.1181037,-0.7663726,5.6766435,-4850.8040485,12.0000000
59.6047569,-45.3808662,17.1008294,2.8081037,2.6876754,5.6766435,-4817.5128335,12.0000000
60.1724213,-45.7214593,16.6466938,2.4981037,2.6876754,5.6766435,-4779.7809467,12.0000000
60.7400856,-46.1843555,16.3181060,2.1881037,2.6876754,5.6766435,-4761.3334123,12.0000000
61.3077500,-46.7148709,16.1161252,1.9345774,2.2098062,5.6766435,-4766.1986826,12.0000000
61.8754144,-47.2728459,16.0116898,1.7558241,1.5665063,5.6766435,-4792.4257347,12.0000000
62.4430787,-47.8394038,15.9762648,1.6332417,1.0772924,5.6766435,-4832.5477909,12.0000000
63.0107431,-48.4069331,15.9886462,1.5489834,0.7414676,5.6766435,-4880.2007105,12.0000000
63.5784074,-48.9727488,16.0344224,1.4900692,0.5187549,5.6766435,-4931.7930784,12.0000000
64.1460718,-49.5361315,16.1040116,1.4478985,0.3714287,5.6766435,-4985.4767985,12.0000000
64.7137361,-50.0970886,16.1910170,1.4169207,0.2728815,5.6766435,-5040.3128064,12.0000000
65.2814005,-50.6558594,16.2911070,1.3935508,0.2058782,5.6766435,-5095.8128925,12.0000000
65.8490648,-51.2127265,16.4012970,1.3754449,0.1595108,5.6766435,-5151.7137143,12.0000000
66.4167292,-51.7679491,16.5194948,1.3610440,0.1268726,5.6766435,-5207.8672736,12.0000000
